# CIK<->symbol point-in-time intervals. GENERATED by scripts/build_cik_map.py
# Sources + validation: see src/trading/venues/universes/sources/PROVENANCE.md.
# start inclusive, end exclusive, empty end = current EDGAR ticker.
symbol,cik,start,end
QLYS,1107843,2017-01-01,
QRVO,1604778,2017-01-01,
R,85961,2017-01-01,
RAMP,733269,2017-01-01,
RBA,1046102,2017-01-01,
RBC,1324948,2017-01-01,
RCL,884887,2017-01-01,
RE,1095073,2017-01-01,2023-07-10
REG,910606,2017-01-01,
REGN,872589,2017-01-01,
REXR,1571283,2017-01-01,
REZI,1740332,2017-01-01,
RF,1281761,2017-01-01,
RGA,898174,2017-01-01,
RGEN,730272,2017-01-01,
RGLD,85535,2017-01-01,
RH,1528849,2017-01-01,
RHI,315213,2017-01-01,
RIG,1451505,2017-01-01,
RIVN,1874178,2017-01-01,
RJF,720005,2017-01-01,
